,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,raga
10,0.09781279,0.30349532,1530.5900018138627,1710.9939461227932,2972.780322469927,0.07051843619246861,-185.7709,130.4734,-32.262367,24.033924,-4.117438,-3.3955326,-11.160676,-6.2336435,-23.639288,-10.940062,-13.476853,-1.5813019,-1.9028451,purna chandrika
11,0.09781279,0.30349532,1530.5900018138627,1710.9939461227932,2972.780322469927,0.07051843619246861,-185.7709,130.4734,-32.262367,24.033924,-4.117438,-3.3955326,-11.160676,-6.2336435,-23.639288,-10.940062,-13.476853,-1.5813019,-1.9028451,purna chandrika
12,0.15113083,0.32979816,1521.25243194976,1744.0076058099974,2971.527972999477,0.06712008041317992,-126.097984,133.01674,-30.074545,24.104185,-3.487587,-3.6716058,-10.622184,-8.526435,-25.101994,-3.5689662,-11.382174,1.3884703,-1.7679714,purna chandrika
13,0.12105756,0.28850025,1397.3581651882841,1678.4066012276462,2734.0230493266213,0.057624542364016734,-175.14302,133.16353,-27.349016,29.683979,-0.98225915,0.39579916,-9.07268,-3.566791,-22.777098,-6.7353005,-10.445297,0.16119362,-1.7403996,purna chandrika
14,0.15503022,0.31769335,1479.492129144096,1754.3471684193555,2876.709801582113,0.06126520005230125,-131.03781,130.44978,-24.577383,30.262617,-0.41461584,-1.2671595,-7.1230516,-2.1237898,-24.641733,-1.5278568,-8.731296,-1.6008531,-1.9206119,purna chandrika
15,0.16297735,0.34195507,1495.8934827149044,1711.0920057783962,2884.4040925732215,0.06500228817991632,-121.324265,134.32137,-31.969887,26.338884,-2.6442788,-3.3794153,-12.990893,-5.194975,-23.715052,-2.5518188,-13.205659,-0.47938523,-3.3577626,purna chandrika
16,0.15163645,0.332749,1587.7747834489867,1770.0451453238586,3078.88765853818,0.07069127549686192,-121.62938,129.11472,-31.19887,25.004416,-5.6403527,-3.4971614,-12.92528,-6.3008184,-24.83494,-3.363736,-13.7171335,2.3629131,-0.9022642,purna chandrika
17,0.13660689,0.30662525,1460.3585105777383,1669.8550514632618,2814.677959106956,0.06600254968619247,-144.49811,135.01718,-34.60168,23.274183,-4.167426,-1.462917,-11.282852,-8.404287,-26.286608,-3.6236484,-9.673991,0.31604993,-0.9953121,purna chandrika
18,0.17147058,0.3241102,1489.2161364544393,1697.5608967559174,2906.9734121665797,0.0639930373953975,-111.1139,133.61433,-32.85615,28.838354,-4.6331925,-2.3113716,-10.236727,-3.5657902,-24.00088,-1.4074391,-10.016916,-0.2946894,-2.2945578,purna chandrika
19,0.16424574,0.3469049,1515.813683407754,1737.1568006747484,2919.8032369573743,0.06502966461820084,-112.72284,133.6865,-30.75574,25.272137,-2.6841056,-2.458938,-12.187562,-5.8610854,-22.807924,-2.4644732,-13.221718,1.1943433,-2.0095067,purna chandrika
20,0.02196009,0.2113259,1536.9403881649287,1947.4473395421985,3103.7478987277477,0.04871890419407895,-403.86087,96.518166,-12.19348,14.110409,-4.123026,1.6122397,-26.044415,-12.903254,-12.5908375,-11.147145,-6.222422,-6.62344,-12.940404,surati
21,0.04781211,0.24210106,1743.947743096145,2017.8521656122161,3595.078261053599,0.06421049608165634,-276.9183,103.39776,-8.69204,8.910774,-21.976223,7.3073745,-19.71224,-11.66749,-9.68085,-7.4000187,-6.51291,-4.472945,-13.75999,surati
22,0.04754827,0.24753633,1745.2486592062905,2028.5414564020646,3639.0029954467395,0.06463717528541021,-268.11533,105.78563,-6.997969,9.337331,-25.36093,8.532725,-17.280558,-11.507887,-10.340358,-6.4386754,-5.1645365,-4.000712,-13.426895,surati
23,0.035647813,0.253673,1793.6853962022467,2028.8535898264515,3629.4863863257065,0.06568176458494582,-307.8212,97.92894,-1.3567269,18.840816,-6.8825526,6.2100163,-17.92235,-9.613808,-6.715176,-11.199111,-7.800429,-4.286724,-11.096472,surati
24,0.04642205,0.24827084,2062.500650026436,2192.7004823699062,4321.657200863487,0.07982378035506967,-267.9589,88.37926,-8.68876,12.111074,-22.513216,10.295339,-18.971731,-10.837338,-8.400859,-7.0922256,-8.861692,-2.1336787,-10.870725,surati
25,0.041535247,0.2659897,1675.067628754572,2019.5179621584002,3567.3617619848105,0.061149668029218264,-281.733,111.75145,-4.8505864,12.466539,-17.997986,9.332664,-20.982748,-9.797227,-8.979258,-9.883126,-6.90443,-2.5575027,-12.613606,surati
26,0.030608617,0.24828658,1485.4331179398807,1903.3826386872988,2974.257015074739,0.04986628954624613,-350.10205,106.32123,-1.3002441,19.683304,-3.4011166,4.5740256,-21.131432,-10.970404,-16.400072,-12.78766,-5.0898175,-7.406885,-15.28412,surati
27,0.04081204,0.26091376,1831.8085775095483,2092.309154895076,3807.9103074206655,0.0641352886755031,-275.05316,101.03315,-8.804496,17.681229,-11.64187,5.9967875,-25.154324,-12.13952,-8.299737,-12.156575,-10.327085,-0.24382366,-13.17062,surati
28,0.04330035,0.2737114,1779.194667836053,2073.153805497307,3722.469157404944,0.06832914086687307,-269.5729,110.3609,-2.67691,7.7445784,-24.080547,8.293175,-18.600166,-9.016013,-9.3263235,-8.7120495,-5.9192677,-0.70297676,-11.736879,surati
29,0.044837378,0.2684445,1873.1469860459115,2100.151503951738,3986.109229876161,0.07231513339299536,-261.68918,105.029495,-7.9015923,7.81099,-25.199957,9.986511,-17.9579,-11.424422,-6.7934766,-7.859837,-6.776937,-0.7171166,-12.465178,surati
30,0.091835566,0.27047178,1533.14804051837,1686.7858964811649,2994.305325048575,0.06760038860103627,-217.67995,118.696976,-35.284996,33.292187,-2.6670308,-12.130972,-13.000115,-16.94873,-15.240487,-6.818093,-12.010302,-9.245549,-6.711984,surati
31,0.091835566,0.27047178,1533.14804051837,1686.7858964811649,2994.305325048575,0.06760038860103627,-217.67995,118.696976,-35.284996,33.292187,-2.6670308,-12.130972,-13.000115,-16.94873,-15.240487,-6.818093,-12.010302,-9.245549,-6.711984,surati
32,0.15220004,0.30387366,1718.9563501136581,1840.8713720205437,3349.268463609132,0.075969478626943,-119.77293,113.0099,-38.58404,29.00783,-4.206877,-2.9112232,-12.949293,-17.912521,-14.223716,-2.9441032,-12.914378,-4.49795,-7.658868,surati
33,0.12842861,0.26289013,1679.8612201257854,1771.8135100827533,3324.685653133096,0.07225466186312608,-149.66272,113.146065,-42.041283,39.642292,-4.3787723,-1.7065822,-12.107076,-17.411957,-12.404174,-5.654319,-14.739907,-5.2584605,-9.306874,surati
34,0.14178333,0.30262056,1565.4135118551583,1836.8929968221453,3038.524631638601,0.06023906384930915,-142.36826,119.62872,-32.164482,33.142452,7.648071,-1.8432373,-11.189792,-11.082372,-9.462979,-1.6784681,-12.3331785,-6.2125864,-9.191524,surati
35,0.16741334,0.29320267,1567.3181254206313,1778.288112211534,3086.369995749676,0.06856598796416234,-119.07459,121.23332,-34.103325,32.57737,0.98276603,-0.2192463,-9.692617,-14.91016,-14.346059,-1.6959543,-10.317715,-2.189604,-4.9563584,surati
36,0.16668595,0.28620833,1657.5445357493463,1777.9296362165721,3142.787731743847,0.07468932156735751,-115.97096,116.59022,-42.020576,25.552467,-4.175203,-4.2046995,-13.091413,-16.967098,-14.410345,-3.423718,-11.698984,-3.6216002,-8.03207,surati
